Dátum;DP_1-1:1.8.0*0;DP_1-1:2.8.0*0
MAXIMUM ÉRTÉK;;
ÖSSZEG;;
2025.05.01.;31433.803;34316.589
2025.05.02.;31441.373;34365.903
2025.05.03.;31447.596;34417.178
2025.05.04.;31457.514;34459.021
2025.05.05.;31466.276;34490.915
2025.05.06.;31471.29;34505.53
2025.05.07.;31477.57;34516.35
2025.05.08.;31485.303;34542.151
2025.05.09.;31491.722;34556.388
2025.05.10.;31496.565;34599.985
2025.05.11.;31503.172;34650.39
2025.05.12.;31511.017;34696.849
2025.05.13.;31517.99;34730.821
2025.05.14.;31524.469;34776.627
2025.05.15.;31529.81;34830.068
2025.05.16.;31539.564;34866.24
2025.05.17.;31545.947;34912.511
2025.05.18.;31557.104;34945.683
2025.05.19.;31562.485;34982.065
2025.05.20.;31566.506;35023.808
2025.05.21.;31573.32;35074.881
2025.05.22.;31582.144;35093.604
2025.05.23.;31589.018;35128.267
2025.05.24.;31598.087;35141.728
2025.05.25.;31605.533;35187.121
2025.05.26.;31612.765;35229.722
2025.05.27.;31619.606;35264.403
2025.05.28.;31626.124;35323.596
2025.05.29.;31632.101;35363.669
2025.05.30.;31636.29;35405.616
2025.05.31.;31640.554;35453.994
